tidspunkt,begreper
2016-11-26 23:30:22,6891
2016-11-27 05:00:36,6891
2016-11-28 05:00:38,6891
2016-11-29 00:00:00,7030
2016-11-30 00:00:00,7032
2016-12-01 00:00:00,7051
2016-12-02 00:00:00,7064
2016-12-03 00:00:00,7064
2016-12-04 00:00:00,6646
2016-12-05 00:00:00,6646
2016-12-10 00:00:00,6937
2016-12-11 00:00:00,6937
2016-12-12 00:00:00,6938
2016-12-13 00:00:00,6972
2016-12-14 00:00:00,7066
2016-12-15 00:00:00,7174
2016-12-16 00:00:00,7243
2016-12-17 00:00:00,7243
2016-12-18 00:00:00,7243
2016-12-19 00:00:00,7243
2016-12-20 00:00:00,7322
2016-12-21 00:00:00,7322
2016-12-22 00:00:00,7321
2016-12-23 00:00:00,7321
2016-12-24 00:00:00,7321
2016-12-25 00:00:00,7321
2016-12-26 00:00:00,7321
2016-12-27 00:00:00,7321
2016-12-28 00:00:00,7321
2016-12-29 00:00:00,7406
2016-12-30 00:00:00,7406
2016-12-31 00:00:00,7406
2017-01-01 00:00:00,7406
2017-01-02 00:00:00,7407
2017-01-03 00:00:00,7497
2017-01-04 00:00:00,7498
2017-01-05 00:00:00,7570
2017-01-06 00:00:00,7607
2017-01-07 00:00:00,7607
2017-01-08 00:00:00,7607
2017-01-09 00:00:00,7672
2017-01-10 00:00:00,7688
2017-01-11 00:00:00,7688
2017-01-12 00:00:00,7731
2017-01-13 00:00:00,7792
2017-01-14 00:00:00,7792
2017-01-15 00:00:00,7793
2017-01-16 00:00:00,7794
2017-01-17 00:00:00,7832
2017-01-18 00:00:00,7870
2017-01-19 00:00:00,8624
2017-01-20 00:00:00,8675
2017-01-21 00:00:00,8675
2017-01-22 00:00:00,8675
2017-01-23 00:00:00,8688
2017-01-24 00:00:00,8957
2017-01-25 00:00:00,9092
2017-01-26 00:00:00,9184
2017-01-27 00:00:00,9236
2017-01-28 00:00:00,9236
