tidspunkt,begreper
2016-11-26 23:30:22,2864
2016-11-27 05:00:36,2864
2016-11-28 05:00:38,2864
2016-11-29 00:00:00,3035
2016-11-30 00:00:00,3038
2016-12-01 00:00:00,3054
2016-12-02 00:00:00,3060
2016-12-03 00:00:00,3060
2016-12-04 00:00:00,3061
2016-12-05 00:00:00,3061
2016-12-10 00:00:00,2906
2016-12-11 00:00:00,2906
2016-12-12 00:00:00,2945
2016-12-13 00:00:00,2994
2016-12-14 00:00:00,2995
2016-12-15 00:00:00,2995
2016-12-16 00:00:00,2998
2016-12-17 00:00:00,2998
2016-12-18 00:00:00,2998
2016-12-19 00:00:00,3052
2016-12-20 00:00:00,3052
2016-12-21 00:00:00,3052
2016-12-22 00:00:00,3052
2016-12-23 00:00:00,3052
2016-12-24 00:00:00,3052
2016-12-25 00:00:00,3052
2016-12-26 00:00:00,3052
2016-12-27 00:00:00,3052
2016-12-28 00:00:00,3053
2016-12-29 00:00:00,3082
2016-12-30 00:00:00,3082
2016-12-31 00:00:00,3082
2017-01-01 00:00:00,3082
2017-01-02 00:00:00,3126
2017-01-03 00:00:00,3133
2017-01-04 00:00:00,3133
2017-01-05 00:00:00,3152
2017-01-06 00:00:00,3177
2017-01-07 00:00:00,3177
2017-01-08 00:00:00,3177
2017-01-09 00:00:00,3270
2017-01-10 00:00:00,3305
2017-01-11 00:00:00,3305
2017-01-12 00:00:00,3332
2017-01-13 00:00:00,3337
2017-01-14 00:00:00,3337
2017-01-15 00:00:00,3337
2017-01-16 00:00:00,3337
2017-01-17 00:00:00,3338
2017-01-18 00:00:00,3339
2017-01-19 00:00:00,3683
2017-01-20 00:00:00,3688
2017-01-21 00:00:00,3688
2017-01-22 00:00:00,3688
2017-01-23 00:00:00,3698
2017-01-24 00:00:00,3730
2017-01-25 00:00:00,3774
2017-01-26 00:00:00,3819
2017-01-27 00:00:00,3822
2017-01-28 00:00:00,3822
