tidspunkt,begreper
2016-08-24 20:45:04,3687
2016-08-25 20:45:07,3762
2016-08-26 20:45:02,3770
2016-08-27 20:45:02,3770
2016-08-28 20:45:01,3770
2016-08-29 20:45:02,3791
2016-08-30 20:45:04,3872
2016-08-31 20:45:03,3956
2016-09-01 20:45:02,4030
2016-09-02 20:45:04,4038
2016-09-03 20:45:02,4049
2016-09-04 20:45:02,4049
2016-09-05 20:45:03,4052
2016-09-06 20:45:02,4053
2016-09-07 20:45:04,4072
2016-09-08 20:45:03,4090
2016-09-09 20:45:02,4102
2016-09-10 20:45:01,4102
2016-09-11 20:45:04,4102
2016-09-12 20:45:04,4141
2016-09-13 20:45:03,4351
2016-09-14 20:45:03,4356
2016-09-15 20:45:03,4404
2016-09-16 20:45:02,4414
2016-09-17 20:45:04,4414
2016-09-18 20:45:04,4414
2016-09-19 20:45:03,4425
2016-09-20 20:45:03,4474
2016-09-22 20:45:03,4528
2016-09-23 20:45:02,4570
2016-09-24 20:45:04,4570
2016-09-25 20:45:04,4570
2016-09-26 20:45:02,4583
2016-09-27 20:45:04,4588
2016-09-28 20:45:03,4601
2016-09-29 20:45:03,4656
2016-09-30 20:45:03,4701
2016-10-01 20:45:02,4701
2016-10-02 20:45:02,4701
2016-10-03 20:45:04,4738
2016-10-04 20:45:02,4740
2016-10-05 20:45:03,4740
2016-10-06 20:45:02,4761
2016-10-07 20:45:03,4776
2016-10-08 20:45:03,4776
2016-10-09 20:45:04,4776
2016-10-10 20:45:03,4873
2016-10-11 20:45:04,4951
2016-10-12 20:45:03,4974
2016-10-13 20:45:04,4974
2016-10-14 20:45:04,4983
2016-10-15 20:45:03,4983
2016-10-16 20:45:04,4988
2016-10-17 20:45:06,5019
2016-10-18 20:45:05,5038
2016-10-19 20:45:04,5050
2016-10-20 20:45:04,5108
2016-10-21 20:45:02,5117
2016-10-22 20:45:02,5117
2016-10-23 20:45:03,5118
2016-10-24 20:45:03,5134
2016-10-25 20:45:04,5160
2016-10-26 20:45:02,5163
2016-10-27 20:45:03,5269
2016-10-28 20:45:02,5324
2016-10-29 20:45:04,5327
2016-10-30 20:45:03,5398
2016-10-31 20:45:04,5531
2016-11-01 20:45:04,5616
2016-11-02 20:45:04,5656
2016-11-03 20:45:04,5660
2016-11-04 20:45:05,5663
2016-11-05 20:45:02,5663
2016-11-06 20:45:04,5663
2016-11-07 20:45:05,5708
2016-11-08 20:45:02,5839
2016-11-09 20:45:04,5881
2016-11-10 20:45:02,5909
2016-11-11 20:45:03,6006
2016-11-12 20:45:02,6006
2016-11-13 20:45:02,6019
2016-11-14 20:45:05,6029
2016-11-15 20:45:04,6029
2016-11-16 20:45:02,6197
2016-11-17 20:45:04,6350
2016-11-18 20:45:02,6414
2016-11-19 20:45:04,6414
2016-11-20 20:45:02,6414
2016-11-21 20:45:03,6608
2016-11-22 20:45:04,6618
2016-11-23 20:45:02,6726
2016-11-24 20:45:04,6832
2016-11-25 20:45:03,6892
