tidspunkt,begreper
2016-08-24 20:45:03,1352
2016-08-25 20:45:07,1383
2016-08-26 20:45:02,1409
2016-08-27 20:45:02,1409
2016-08-28 20:45:01,1409
2016-08-29 20:45:02,1440
2016-08-30 20:45:03,1468
2016-08-31 20:45:03,1536
2016-09-01 20:45:02,1547
2016-09-02 20:45:03,1578
2016-09-03 20:45:02,1585
2016-09-04 20:45:02,1585
2016-09-05 20:45:03,1624
2016-09-06 20:45:02,1638
2016-09-07 20:45:04,1672
2016-09-08 20:45:03,1703
2016-09-09 20:45:02,1717
2016-09-10 20:45:01,1717
2016-09-11 20:45:03,1717
2016-09-12 20:45:03,1759
2016-09-13 20:45:02,1824
2016-09-14 20:45:03,1829
2016-09-15 20:45:03,1859
2016-09-16 20:45:02,1880
2016-09-17 20:45:03,1880
2016-09-18 20:45:04,1880
2016-09-19 20:45:03,1890
2016-09-20 20:45:03,1911
2016-09-22 20:45:03,1935
2016-09-23 20:45:02,1944
2016-09-24 20:45:03,1944
2016-09-25 20:45:04,1944
2016-09-26 20:45:02,1966
2016-09-27 20:45:04,1976
2016-09-28 20:45:03,1985
2016-09-29 20:45:03,2015
2016-09-30 20:45:03,2049
2016-10-01 20:45:02,2049
2016-10-02 20:45:02,2049
2016-10-03 20:45:04,2052
2016-10-04 20:45:02,2053
2016-10-05 20:45:03,2053
2016-10-06 20:45:02,2076
2016-10-07 20:45:03,2091
2016-10-08 20:45:03,2091
2016-10-09 20:45:03,2091
2016-10-10 20:45:03,2157
2016-10-11 20:45:03,2195
2016-10-12 20:45:03,2215
2016-10-13 20:45:04,2216
2016-10-14 20:45:04,2219
2016-10-15 20:45:03,2219
2016-10-16 20:45:04,2219
2016-10-17 20:45:05,2234
2016-10-18 20:45:04,2289
2016-10-19 20:45:04,2291
2016-10-20 20:45:04,2308
2016-10-21 20:45:02,2311
2016-10-22 20:45:02,2311
2016-10-23 20:45:03,2311
2016-10-24 20:45:03,2314
2016-10-25 20:45:04,2320
2016-10-26 20:45:02,2322
2016-10-27 20:45:03,2324
2016-10-28 20:45:02,2326
2016-10-29 20:45:04,2326
2016-10-30 20:45:03,2328
2016-10-31 20:45:03,2357
2016-11-01 20:45:03,2372
2016-11-02 20:45:04,2404
2016-11-03 20:45:04,2406
2016-11-04 20:45:04,2407
2016-11-05 20:45:02,2407
2016-11-06 20:45:03,2407
2016-11-07 20:45:04,2440
2016-11-08 20:45:02,2485
2016-11-09 20:45:04,2488
2016-11-10 20:45:02,2518
2016-11-11 20:45:03,2605
2016-11-12 20:45:02,2605
2016-11-13 20:45:02,2606
2016-11-14 20:45:04,2611
2016-11-15 20:45:04,2618
2016-11-16 20:45:02,2649
2016-11-17 20:45:03,2700
2016-11-18 20:45:02,2718
2016-11-19 20:45:04,2718
2016-11-20 20:45:02,2718
2016-11-21 20:45:03,2778
2016-11-22 20:45:04,2782
2016-11-23 20:45:02,2805
2016-11-24 20:45:04,2819
2016-11-25 20:45:02,2850
